Filename,Composition,Ionic_Conductivity,aav,sdlc,sdli,lbi,lnc,llb,sbi,snc,afc,aasd,vpa,lasd,llsd,ens,pf,spf,slpw,slpe,rbi,rnc
LiLaTi2O6_mp-767402_symmetrized.cif,LiLaTi2O6,0.001,0.08342034533581599,0.0,0.8852225977792523,2.0800000000000005,18.0,1.0,1.0660465116279074,18.666666666666668,8.0,2.7010591060118845,19.979138901395725,1.9682303632730265,3.8838465,2.757777777777777,0.5327663831915957,0.5071690563521174,0.35112658984409983,3.44,1.9511343804537518,0.9642857142857142
Li10Ge(PS6)2_mp-696138_symmetrized.cif,Li10Ge(PS6)2,0.014,0.05055631025168915,1.2680278927697548,0.6111520966425009,1.188592233009707,12.35,4.0,0.9435401459853993,12.7,10.875,3.3868666098860896,41.208176050856615,2.451152517411452,3.097483002583433,2.489999999999999,0.5221740580193398,0.38209552388097023,0.07470463235980575,2.579999999999999,1.2597155914000715,0.9724409448818898
Li2Ge7O15_mp-5832_symmetrized.cif,Li2Ge7O15,5e-06,0.07632382301498025,2.138089935299395,0.7112466932357181,1.8439790575916182,24.0,0.0,0.8642986425339415,18.0,10.666666666666666,2.74488915270381,20.96331049462714,1.9998137155246811,5.00782658406169,2.984999999999998,0.4112056028014007,0.3721240413471157,0.08855353036959612,3.4400000000000004,2.1334975746177967,1.3333333333333333
Li2HN_mp-699284_symmetrized.cif,Li2HN,0.00025,0.1253117682584952,4.09878030638384,0.8146243576727958,1.1550649350649385,31.0,11.125,1.2432098765432107,36.0,6.0,3.2074650271691003,31.92038589503209,2.1271016067862925,2.2751733405351886,2.6199999999999997,0.6525508502834279,0.2965494249041507,0.03660990094762254,3.0399999999999996,0.9290989050671297,0.8611111111111112
Li2S_mp-1153_symmetrized.cif,Li2S,1e-13,0.06407416637128056,0.0,0.9237604307034013,1.6,10.0,1.0,1.6,8.0,0.0,9.223372036854776e+18,46.8207418043704,2.4774224181234716,2.8606809999999996,2.58,0.294431477159053,0.019169861643607268,4.611686018427388e+18,2.58,1.0,1.25
Li7VGeO8_mp-769539_symmetrized.cif,Li7VGeO8,7e-05,0.09139614494595648,2.0272863906932614,1.0590460647023952,1.6414814814814784,24.571428571428573,6.857142857142857,1.5294871794871763,25.0,8.0,2.8416873999978955,23.250433606981293,1.9271395761666192,2.4766805941509213,3.115999999999999,0.5795265088362788,0.34811603867955987,0.07149707919241623,3.44,1.073223432988731,0.9828571428571429
Li3Fe2(PO4)3_mp-758654_symmetrized.cif,Li3Fe2(PO4)3,1e-07,0.0855368295943447,0.5477225575051661,0.7538859586898262,1.9248387096774207,21.5,1.3333333333333333,1.0383932853716995,20.970588235294116,9.666666666666666,2.5051020154917505,19.484784210155706,1.9627570469781872,3.500034786549523,3.029999999999999,0.49024512256128067,0.43421710855427714,0.004398652084540748,3.44,1.8536702199383082,1.0252454417952315
Li3N_mp-2251_symmetrized.cif,Li3N,5.75e-07,0.08912146050461778,1.1547005383792515,1.1283084684606421,1.236,20.666666666666668,2.0,2.06,16.0,0.0,9.223372036854776e+18,44.88256787255795,2.053257023297228,2.3610034996147804,3.04,0.26942314104701565,0.03900975243810953,0.1817816466666665,3.0400000000000005,0.6,1.2916666666666667
Li3P_mp-736_symmetrized.cif,Li3P,0.001,0.06800478431898078,1.5491933384829668,0.6133124602623392,0.55,15.0,4.333333333333333,1.2100000000000002,11.0,1.0,4.506636684871235,58.81939101869281,2.5015384346030243,2.5908425777229915,2.19,0.3357785928642881,0.010252563140785197,0.6866578811754267,2.19,0.45454545454545453,1.3636363636363635
Li3PS4_mp-985583_symmetrized.cif,Li3PS4,3e-07,0.048037382959179475,0.9847319278346619,0.5563757682709098,1.2458252427184446,11.333333333333334,2.6666666666666665,0.9894117647058809,10.4,8.0,3.298800671484964,41.63424143441643,2.465294054543786,3.287736535413375,2.501999999999999,0.4981245311327832,0.4191397132377459,0.020018353447968096,2.5799999999999996,1.2591574985858258,1.0897435897435899
Li3Sc2(PO4)3_mp-6565_symmetrized.cif,Li3Sc2,1e-10,0.08068955023169526,1.9694638556693234,0.8862442747486285,1.8009876543209815,21.666666666666668,2.6666666666666665,1.0899456521739175,18.294117647058822,8.666666666666666,2.4994008277990947,20.655297518463446,1.9781156833730626,3.2910745510105897,2.9747058823529398,0.5282641320660331,0.44172086043021513,0.013935357864063727,3.44,1.6523646392174483,1.184351554126474
Li3VO4_mp-19219_symmetrized.cif,Li3VO4,4.4e-08,0.08999834317767638,0.0,1.030975198127933,1.7729577464788715,26.0,4.0,1.548399999999999,26.0,6.0,2.831405054844482,22.22263132168515,1.9888631998757795,3.111754734961494,3.0780000000000003,0.5017508754377189,0.3371685842921461,0.0057522722377456965,3.44,1.1450256693870269,1.0
Li4B7ClO12.cif,Li4B7O12Cl,1e-07,0.10278336261563219,0.4629100498862757,0.7354123723317009,1.8791443850267366,24.25,1.5,1.137437722419928,23.55,9.0,2.3878871657583836,19.458402110068956,2.009180145900613,2.7609113322299703,2.9359999999999986,0.5331332833208302,0.4637318659329665,0.0,3.4400000000000004,1.6520855146502516,1.029723991507431
Li4BH10N3.cif,Li4BN3H10,0.0002,0.11632072145083915,0.8944271909999159,0.5252152715384671,1.1848710601719268,24.5,5.25,0.6385185185185179,31.142857142857142,8.0,3.378685135625396,51.581523267423954,2.1029581660205565,2.512701457553301,2.368571428571431,0.3151575787893947,0.14719119853308885,0.17147309452496146,3.0399999999999996,1.8556565327518593,0.786697247706422
